Indicator,Group,State,Subgroup,Phase,Time Period,Time Period Label,Time Period Start Date,Time Period End Date,Value,Low CI,High CI,Confidence Interval
Symptoms of Depressive Disorder,National Estimate,United States,United States,1,1,"Apr 23 - May 5, 2020",4/23/2020,5/5/2020,23.5,22.7,24.3,22.7 - 24.3
Symptoms of Depressive Disorder,By Age,United States,18 - 29 years,1,1,"Apr 23 - May 5, 2020",4/23/2020,5/5/2020,32.7,30.2,35.2,30.2 - 35.2
Symptoms of Depressive Disorder,By Age,United States,30 - 39 years,1,1,"Apr 23 - May 5, 2020",4/23/2020,5/5/2020,25.7,24.1,27.3,24.1 - 27.3
Symptoms of Depressive Disorder,By Age,United States,40 - 49 years,1,1,"Apr 23 - May 5, 2020",4/23/2020,5/5/2020,24.8,23.3,26.2,23.3 - 26.2
Symptoms of Depressive Disorder,By Age,United States,50 - 59 years,1,1,"Apr 23 - May 5, 2020",4/23/2020,5/5/2020,23.2,21.5,25,21.5 - 25.0
Symptoms of Depressive Disorder,By Age,United States,60 - 69 years,1,1,"Apr 23 - May 5, 2020",4/23/2020,5/5/2020,18.4,17,19.7,17.0 - 19.7
Symptoms of Depressive Disorder,By Age,United States,70 - 79 years,1,1,"Apr 23 - May 5, 2020",4/23/2020,5/5/2020,13.6,11.8,15.5,11.8 - 15.5
Symptoms of Depressive Disorder,By Age,United States,80 years and above,1,1,"Apr 23 - May 5, 2020",4/23/2020,5/5/2020,14.4,9,21.4,9.0 - 21.4
Symptoms of Depressive Disorder,By Sex,United States,Male,1,1,"Apr 23 - May 5, 2020",4/23/2020,5/5/2020,20.8,19.6,22,19.6 - 22.0
Symptoms of Depressive Disorder,By Sex,United States,Female,1,1,"Apr 23 - May 5, 2020",4/23/2020,5/5/2020,26.1,25.2,27.1,25.2 - 27.1
Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,United States,Hispanic or Latino,1,1,"Apr 23 - May 5, 2020",4/23/2020,5/5/2020,29.4,26.8,32.1,26.8 - 32.1
Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic White, single race",1,1,"Apr 23 - May 5, 2020",4/23/2020,5/5/2020,21.4,20.6,22.1,20.6 - 22.1
Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic Black, single race",1,1,"Apr 23 - May 5, 2020",4/23/2020,5/5/2020,25.6,23.7,27.5,23.7 - 27.5
Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic Asian, single race",1,1,"Apr 23 - May 5, 2020",4/23/2020,5/5/2020,23.6,20.3,27.1,20.3 - 27.1
Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic, other races and multiple races",1,1,"Apr 23 - May 5, 2020",4/23/2020,5/5/2020,28.3,24.8,32,24.8 - 32.0
Symptoms of Depressive Disorder,By Education,United States,Less than a high school diploma,1,1,"Apr 23 - May 5, 2020",4/23/2020,5/5/2020,32.7,27.8,38,27.8 - 38.0
Symptoms of Depressive Disorder,By Education,United States,High school diploma or GED,1,1,"Apr 23 - May 5, 2020",4/23/2020,5/5/2020,25.4,23.9,26.9,23.9 - 26.9
Symptoms of Depressive Disorder,By Education,United States,Some college/Associate's degree,1,1,"Apr 23 - May 5, 2020",4/23/2020,5/5/2020,25.6,24.4,26.9,24.4 - 26.9
Symptoms of Depressive Disorder,By Education,United States,Bachelor's degree or higher,1,1,"Apr 23 - May 5, 2020",4/23/2020,5/5/2020,17.6,16.8,18.4,16.8 - 18.4
Symptoms of Depressive Disorder,By State,Alabama,Alabama,1,1,"Apr 23 - May 5, 2020",4/23/2020,5/5/2020,18.6,14.6,23.1,14.6 - 23.1
Symptoms of Depressive Disorder,By State,Alaska,Alaska,1,1,"Apr 23 - May 5, 2020",4/23/2020,5/5/2020,19.2,16.8,21.8,16.8 - 21.8
Symptoms of Depressive Disorder,By State,Arizona,Arizona,1,1,"Apr 23 - May 5, 2020",4/23/2020,5/5/2020,22.4,19.4,25.5,19.4 - 25.5
Symptoms of Depressive Disorder,By State,Arkansas,Arkansas,1,1,"Apr 23 - May 5, 2020",4/23/2020,5/5/2020,26.6,22.3,31.3,22.3 - 31.3
Symptoms of Depressive Disorder,By State,California,California,1,1,"Apr 23 - May 5, 2020",4/23/2020,5/5/2020,25.4,22.5,28.6,22.5 - 28.6
Symptoms of Depressive Disorder,By State,Colorado,Colorado,1,1,"Apr 23 - May 5, 2020",4/23/2020,5/5/2020,22,19.4,24.9,19.4 - 24.9
Symptoms of Depressive Disorder,By State,Connecticut,Connecticut,1,1,"Apr 23 - May 5, 2020",4/23/2020,5/5/2020,24.4,20.1,29.1,20.1 - 29.1
Symptoms of Depressive Disorder,By State,Delaware,Delaware,1,1,"Apr 23 - May 5, 2020",4/23/2020,5/5/2020,21.1,17.6,24.9,17.6 - 24.9
Symptoms of Depressive Disorder,By State,District of Columbia,District of Columbia,1,1,"Apr 23 - May 5, 2020",4/23/2020,5/5/2020,26.4,22.1,31.1,22.1 - 31.1
Symptoms of Depressive Disorder,By State,Florida,Florida,1,1,"Apr 23 - May 5, 2020",4/23/2020,5/5/2020,22.5,19.7,25.4,19.7 - 25.4
Symptoms of Depressive Disorder,By State,Georgia,Georgia,1,1,"Apr 23 - May 5, 2020",4/23/2020,5/5/2020,25.6,21.4,30.2,21.4 - 30.2
Symptoms of Depressive Disorder,By State,Hawaii,Hawaii,1,1,"Apr 23 - May 5, 2020",4/23/2020,5/5/2020,20,14.9,26.1,14.9 - 26.1
Symptoms of Depressive Disorder,By State,Idaho,Idaho,1,1,"Apr 23 - May 5, 2020",4/23/2020,5/5/2020,20.6,17.3,24.1,17.3 - 24.1
Symptoms of Depressive Disorder,By State,Illinois,Illinois,1,1,"Apr 23 - May 5, 2020",4/23/2020,5/5/2020,23.3,19.6,27.2,19.6 - 27.2
Symptoms of Depressive Disorder,By State,Indiana,Indiana,1,1,"Apr 23 - May 5, 2020",4/23/2020,5/5/2020,26.4,22.1,31,22.1 - 31.0
Symptoms of Depressive Disorder,By State,Iowa,Iowa,1,1,"Apr 23 - May 5, 2020",4/23/2020,5/5/2020,16.5,13.7,19.6,13.7 - 19.6
Symptoms of Depressive Disorder,By State,Kansas,Kansas,1,1,"Apr 23 - May 5, 2020",4/23/2020,5/5/2020,22.1,18.3,26.4,18.3 - 26.4
Symptoms of Depressive Disorder,By State,Kentucky,Kentucky,1,1,"Apr 23 - May 5, 2020",4/23/2020,5/5/2020,23.2,19.4,27.4,19.4 - 27.4
Symptoms of Depressive Disorder,By State,Louisiana,Louisiana,1,1,"Apr 23 - May 5, 2020",4/23/2020,5/5/2020,28.1,24.1,32.4,24.1 - 32.4
Symptoms of Depressive Disorder,By State,Maine,Maine,1,1,"Apr 23 - May 5, 2020",4/23/2020,5/5/2020,19.5,16,23.5,16.0 - 23.5
Symptoms of Depressive Disorder,By State,Maryland,Maryland,1,1,"Apr 23 - May 5, 2020",4/23/2020,5/5/2020,20.9,17.9,24.1,17.9 - 24.1
Symptoms of Depressive Disorder,By State,Massachusetts,Massachusetts,1,1,"Apr 23 - May 5, 2020",4/23/2020,5/5/2020,25.9,22.7,29.4,22.7 - 29.4
